file,topiq_score
h5EN7ARXuMQ-segment_1439_2823-shot_2364_2492_1280x0720_fp,0.5866410732269287
YFLjNkk8PVM-segment_5971_7491-shot_6692_6821_1280x0720_fp,0.3952125906944275
FdeJ7ursaDg-segment_7065_8570-shot_7065_7167_1280x0720_fp,0.7110233306884766
AoyGv4Atr3Q-segment_5734_7170-shot_5949_6069_1280x0720_fp,0.5028131604194641
dUiiLltZv3Y-segment_3510_5400-shot_4191_4260_0720x0720_fp,0.5436657071113586
aqz-KE-bpKQ-segment_8998_10790-shot_9850_9958_1280x0720_fp,0.456205278635025
pwVvqJmaE0U-segment_1426_2728-shot_2026_2149_1280x0720_fp,0.6277279853820801
Pui_u98vAgY-segment_14397_16282-shot_14557_14647_1280x0720_fp,0.5327063202857971
pNJun41AYUQ-segment_5776_7468-shot_6515_6586_1280x0720_fp,0.6490747332572937
Yy8Rb05oGhg-segment_5888_7141-shot_6663_6788_1280x0720_fp,0.6463109850883484
fmASxs63Jis-segment_13494_14882-shot_13915_14094_1280x0720_fp,0.32448869943618774
